Id,plant_nr,plant_id,branch_nr,branch_id,n_flowers_with_fruits,n_flowers_without_fruits,comment
52,3,52_3,6,52_3_6,30,69,
52,4,52_4,1,52_4_1,25,32,
52,4,52_4,2,52_4_2,13,50,
52,4,52_4,3,52_4_3,19,69,
52,4,52_4,4,52_4_4,62,135,
52,4,52_4,5,52_4_5,28,48,
52,5,52_5,1,52_5_1,15,99,
52,5,52_5,2,52_5_2,18,87,
52,5,52_5,3,52_5_3,14,47,
52,5,52_5,4,52_5_4,17,43,
52,6,52_6,1,52_6_1,4,27,
52,6,52_6,2,52_6_2,6,99,
52,6,52_6,3,52_6_3,12,52,
52,6,52_6,4,52_6_4,18,105,
53,1,53_1,1,53_1_1,15,45,dry since weeks
53,1,53_1,2,53_1_2,10,56,dry since weeks
53,1,53_1,3,53_1_3,18,68,dry since weeks
53,1,53_1,4,53_1_4,11,69,dry since weeks
53,2,53_2,1,53_2_1,16,41,
53,2,53_2,2,53_2_2,18,55,
53,2,53_2,3,53_2_3,23,85,
53,2,53_2,4,53_2_4,25,74,
53,3,53_3,1,53_3_1,11,55,small pot (1.5L)
53,3,53_3,2,53_3_2,11,80,small pot (1.5L)
53,4,53_4,1,53_4_1,15,74,
53,4,53_4,2,53_4_2,7,125,
53,4,53_4,3,53_4_3,24,106,
53,4,53_4,4,53_4_4,10,73,
53,4,53_4,5,53_4_5,11,67,
53,4,53_4,6,53_4_6,29,138,
53,5,53_5,1,53_5_1,31,58,
53,5,53_5,2,53_5_2,20,59,
53,5,53_5,3,53_5_3,23,69,
53,5,53_5,4,53_5_4,16,54,
53,5,53_5,5,53_5_5,25,79,
53,6,53_6,1,53_6_1,17,63,
53,6,53_6,2,53_6_2,21,74,plant with thin fruits
53,6,53_6,3,53_6_3,20,84,plant with thin fruits
53,6,53_6,4,53_6_4,16,55,plant with thin fruits
53,6,53_6,5,53_6_5,32,120,plant with thin fruits
56,1,56_1,1,56_1_1,17,39,
56,1,56_1,2,56_1_2,11,41,
56,1,56_1,3,56_1_3,12,49,
56,1,56_1,4,56_1_4,12,45,
56,2,56_2,1,56_2_1,22,53,
56,2,56_2,2,56_2_2,21,47,
56,2,56_2,3,56_2_3,24,42,
56,2,56_2,4,56_2_4,24,41,
56,2,56_2,5,56_2_5,21,30,
56,3,56_3,1,56_3_1,23,56,
56,3,56_3,2,56_3_2,16,56,
56,3,56_3,3,56_3_3,16,27,
56,3,56_3,4,56_3_4,16,50,
56,3,56_3,5,56_3_5,14,58,
56,3,56_3,6,56_3_6,29,62,
56,4,56_4,1,56_4_1,10,16,
56,4,56_4,2,56_4_2,9,17,
56,4,56_4,3,56_4_3,12,26,
56,4,56_4,4,56_4_4,17,58,
56,4,56_4,5,56_4_5,20,43,
56,5,56_5,1,56_5_1,16,58,
56,5,56_5,2,56_5_2,10,23,
56,5,56_5,3,56_5_3,11,65,
56,5,56_5,4,56_5_4,18,46,
56,5,56_5,5,56_5_5,28,90,
56,6,56_6,1,56_6_1,12,46,small pot (1.5L)
56,6,56_6,2,56_6_2,14,45,small pot (1.5L)
56,6,56_6,3,56_6_3,13,50,small pot (1.5L)
56,6,56_6,4,56_6_4,5,17,small pot (1.5L)
56,6,56_6,5,56_6_5,8,30,small pot (1.5L)
59,1,59_1,1,59_1_1,18,64,
59,1,59_1,2,59_1_2,12,39,
