Id,plant_nr,plant_id,fruit_nr,fruit_id,n_seeds,excluded,comment
7,3,7_3,12,7_3_12,2,0,
7,3,7_3,13,7_3_13,3,0,
7,3,7_3,14,7_3_14,5,0,
7,3,7_3,15,7_3_15,6,0,
7,3,7_3,16,7_3_16,6,0,
7,3,7_3,17,7_3_17,4,0,
7,3,7_3,18,7_3_18,4,0,
7,3,7_3,19,7_3_19,2,0,
7,3,7_3,20,7_3_20,4,0,
7,3,7_3,21,7_3_21,3,0,
7,3,7_3,22,7_3_22,3,0,
7,3,7_3,23,7_3_23,5,0,
7,3,7_3,24,7_3_24,3,0,
7,3,7_3,25,7_3_25,5,0,
7,3,7_3,26,7_3_26,2,0,
7,3,7_3,27,7_3_27,2,0,
7,3,7_3,28,7_3_28,6,0,
7,3,7_3,29,7_3_29,4,0,
7,3,7_3,30,7_3_30,5,0,
7,3,7_3,31,7_3_31,4,0,
7,3,7_3,32,7_3_32,7,0,
7,3,7_3,33,7_3_33,5,0,
7,3,7_3,34,7_3_34,3,0,
7,3,7_3,35,7_3_35,2,0,
7,3,7_3,36,7_3_36,5,0,
7,3,7_3,37,7_3_37,6,0,
7,3,7_3,38,7_3_38,6,0,
7,3,7_3,39,7_3_39,5,0,
7,3,7_3,40,7_3_40,2,0,
7,3,7_3,41,7_3_41,7,0,
7,3,7_3,42,7_3_42,4,0,
7,3,7_3,43,7_3_43,4,0,
7,3,7_3,44,7_3_44,6,0,
7,3,7_3,45,7_3_45,5,0,
7,3,7_3,46,7_3_46,3,0,
7,3,7_3,47,7_3_47,3,0,
7,3,7_3,48,7_3_48,2,0,
7,3,7_3,49,7_3_49,5,0,
7,3,7_3,50,7_3_50,3,0,
7,4,7_4,1,7_4_1,6,0,
7,4,7_4,2,7_4_2,4,0,
7,4,7_4,3,7_4_3,8,0,
7,4,7_4,4,7_4_4,5,0,
7,4,7_4,5,7_4_5,4,0,
7,4,7_4,6,7_4_6,3,0,
7,4,7_4,7,7_4_7,5,0,
7,4,7_4,8,7_4_8,4,0,
7,4,7_4,9,7_4_9,4,0,
7,4,7_4,10,7_4_10,8,0,
7,4,7_4,11,7_4_11,3,0,
7,4,7_4,12,7_4_12,2,0,
7,4,7_4,13,7_4_13,6,0,
7,4,7_4,14,7_4_14,3,0,
7,4,7_4,15,7_4_15,4,0,
7,4,7_4,16,7_4_16,4,0,
7,4,7_4,17,7_4_17,6,0,
7,4,7_4,18,7_4_18,3,0,
7,4,7_4,19,7_4_19,4,0,
7,4,7_4,20,7_4_20,5,0,
7,4,7_4,21,7_4_21,4,0,
7,4,7_4,22,7_4_22,6,0,
7,4,7_4,23,7_4_23,4,0,
7,4,7_4,24,7_4_24,3,0,
7,4,7_4,25,7_4_25,5,0,
7,4,7_4,26,7_4_26,4,0,
7,4,7_4,27,7_4_27,6,0,
7,4,7_4,28,7_4_28,5,0,
7,4,7_4,29,7_4_29,4,0,
7,4,7_4,30,7_4_30,2,0,
7,4,7_4,31,7_4_31,4,0,
7,4,7_4,32,7_4_32,7,0,
7,4,7_4,33,7_4_33,4,0,
7,4,7_4,34,7_4_34,5,0,
7,4,7_4,35,7_4_35,5,0,
7,4,7_4,36,7_4_36,5,0,
7,4,7_4,37,7_4_37,4,0,
7,4,7_4,38,7_4_38,4,0,
7,4,7_4,39,7_4_39,5,0,
7,4,7_4,40,7_4_40,2,0,
7,4,7_4,41,7_4_41,3,0,
7,4,7_4,42,7_4_42,2,0,
7,4,7_4,43,7_4_43,5,0,
7,4,7_4,44,7_4_44,2,0,
7,4,7_4,45,7_4_45,4,0,
7,4,7_4,46,7_4_46,2,0,
7,4,7_4,47,7_4_47,5,0,
7,4,7_4,48,7_4_48,4,0,
7,4,7_4,49,7_4_49,5,0,
7,4,7_4,50,7_4_50,6,0,
7,5,7_5,1,7_5_1,4,0,
7,5,7_5,2,7_5_2,3,0,
7,5,7_5,3,7_5_3,2,0,
7,5,7_5,4,7_5_4,5,0,
7,5,7_5,5,7_5_5,3,0,
7,5,7_5,6,7_5_6,2,0,
7,5,7_5,7,7_5_7,1,0,
7,5,7_5,8,7_5_8,4,0,
7,5,7_5,9,7_5_9,2,0,
7,5,7_5,10,7_5_10,2,0,
7,5,7_5,11,7_5_11,3,0,
7,5,7_5,12,7_5_12,3,0,
7,5,7_5,13,7_5_13,3,0,
7,5,7_5,14,7_5_14,3,0,
7,5,7_5,15,7_5_15,3,0,
7,5,7_5,16,7_5_16,1,0,
7,5,7_5,17,7_5_17,2,0,
7,5,7_5,18,7_5_18,5,0,
7,5,7_5,19,7_5_19,4,0,
7,5,7_5,20,7_5_20,6,0,
7,5,7_5,21,7_5_21,3,0,
7,5,7_5,22,7_5_22,4,0,
7,5,7_5,23,7_5_23,3,0,
7,5,7_5,24,7_5_24,2,0,
7,5,7_5,25,7_5_25,3,0,
7,5,7_5,26,7_5_26,5,0,
7,5,7_5,27,7_5_27,4,0,
7,5,7_5,28,7_5_28,2,0,
7,5,7_5,29,7_5_29,2,0,
7,5,7_5,30,7_5_30,4,0,
7,5,7_5,31,7_5_31,3,0,
7,5,7_5,32,7_5_32,5,0,
7,5,7_5,33,7_5_33,3,0,
7,5,7_5,34,7_5_34,3,0,
7,5,7_5,35,7_5_35,1,0,
7,5,7_5,36,7_5_36,4,0,
7,5,7_5,37,7_5_37,3,0,
7,5,7_5,38,7_5_38,5,0,
7,5,7_5,39,7_5_39,2,0,
7,5,7_5,40,7_5_40,4,0,
7,5,7_5,41,7_5_41,2,0,
7,5,7_5,42,7_5_42,2,0,
7,5,7_5,43,7_5_43,9,0,
7,5,7_5,44,7_5_44,3,0,
7,5,7_5,45,7_5_45,5,0,
7,5,7_5,46,7_5_46,6,0,
7,5,7_5,47,7_5_47,2,0,
7,5,7_5,48,7_5_48,2,0,
7,5,7_5,49,7_5_49,3,0,
7,5,7_5,50,7_5_50,4,0,
7,6,7_6,1,7_6_1,6,0,
7,6,7_6,2,7_6_2,3,0,
7,6,7_6,3,7_6_3,4,0,
7,6,7_6,4,7_6_4,5,0,
7,6,7_6,5,7_6_5,4,0,
7,6,7_6,6,7_6_6,5,0,
7,6,7_6,7,7_6_7,4,0,
7,6,7_6,8,7_6_8,7,0,
7,6,7_6,9,7_6_9,2,0,
7,6,7_6,10,7_6_10,3,0,
7,6,7_6,11,7_6_11,3,0,
7,6,7_6,12,7_6_12,3,0,
